"Survey ID","User ID","Start time","Submission time","Time to complete","Meal ID","Meal name","Food ID","Search term","Intake24 food code","Description (en)","Description (local)","Nutrient table name","Nutrient table code","Food group code","Food group (en)","Food group (local)","Ready meal","Brand","Serving size (g/ml)","Serving image","Leftovers (g/ml)","Leftovers image","Portion size (g/ml)","Reasonable amount","Missing food description","Missing food portion size","Missing food leftovers","Energy (kcal)","Fat","Satd FA","Protein","Carbohydrate","Total sugars","Non-milk extrinsic sugars","Alcohol","Fibre, water-insoluble","Fibre, water-soluble","Vitamin C","Calcium","Iron","Alpha-carotene","Beta cryptoxanthin","Beta-carotene","Biotin","Chloride","Cholesterol","Cis-Mon FA","Cis-n3 FA","Cis-n6 FA","Copper","Energy (kJ)","Englyst fibre","Folate","Fructose","Glucose","Haem iron","Intrinsic and milk sugars","Iodine","Lactose","Magnesium","Maltose","Manganese","Niacin","Niacin equivalent","Nitrogen conversion factor","Non-haem iron","Other sugars (UK)","Pantothenic acid","Phosphorus","Potassium","Retinol","Riboflavin","Selenium","Sodium","Southgate fibre","Starch","Sucrose","Thiamin","Total carotene","Total nitrogen","Trans FA","Tryptophan/60","Vitamin A","Vitamin B12","Vitamin B6","Vitamin D","Vitamin E","Water","Zinc","CO₂ emissions"
"d851b8f5-1e16-430b-badb-8fedce741229","LBD08","2018-07-23T13:22:29.181Z","2018-07-23T13:32:30.126Z","10 min","4","Evening meal","4","apple squash","ASAS","Apple squash (juice), diluted","Apple squash (juice), diluted","NDNS","2340","89","Other cordials and squashes: excluding low calorie & reduced sugar","Other cordials and squashes: excluding low calorie & reduced sugar","false","N/A","112.75","N/A","0.00","N/A","112.75","true","N/A","N/A","N/A","39.46","0.00","0.00","0.00","10.49","10.49","10.49","0.00","N/A","N/A","7.89","7.89","0.00","0.00","0.00","105.98","0.00","3.38","0.00","0.00","0.00","0.00","0.00","167.99","0.00","1.13","2.14","2.25","0.00","0.00","0.00","0.00","7.89","0.11","0.00","0.00","0.00","7.05","0.00","N/A","0.00","2.25","30.44","0.00","0.00","0.00","9.02","0.00","0.00","6.09","0.00","105.98","0.00","0.00","0.00","18.04","0.00","0.00","0.00","0.00","102.26","0.00","117.26"
"e98d036d-4cda-4312-a435-ced195f9a3d7","LBD01","2018-07-26T08:04:56.867Z","2018-07-26T08:15:02.216Z","10 min","1","Breakfast","1","EGGS","EOIL","Fried eggs","Fried eggs","NDNS","756","37","Eggs: whole egg, white, yolk, dried, boiled, fried, scrambled, omelette, poached","Eggs: whole egg, white, yolk, dried, boiled, fried, scrambled, omelette, poached","false","N/A","150.00","N/A","0.00","N/A","150.00","true","N/A","N/A","N/A","324.00","26.85","5.55","20.70","0.00","0.00","0.00","0.00","N/A","N/A","0.00","75.00","2.85","0.00","0.00","0.00","31.50","295.50","576.00","12.06","1.01","4.97","0.08","1345.50","0.00","54.00","0.00","0.00","0.00","0.00","84.00","0.00","21.00","0.00","0.05","0.15","5.70","11.03","2.85","N/A","1.80","294.00","238.50","207.00","0.74","37.50","253.50","0.00","0.00","0.00","0.11","0.00","3.30","0.02","5.55","207.00","4.50","0.15","5.18","4.80","99.75","1.80","736.50"
"e98d036d-4cda-4312-a435-ced195f9a3d7","LBD01","2018-07-26T08:04:56.867Z","2018-07-26T08:15:02.216Z","10 min","1","Breakfast","2","WHOLEMEAL ROLL","WHRL","Wholemeal bread roll","Wholemeal bread roll","NDNS","161","2","Brown and wholemeal bread/rolls","Brown and wholemeal bread/rolls","false","N/A","58.00","N/A","0.00","N/A","58.00","true","N/A","N/A","N/A","132.82","1.91","0.35","6.03","24.42","2.09","0.00","0.00","N/A","N/A","0.00","50.46","1.39","0.00","0.00","0.00","3.48","394.40","0.00","0.49","0.06","0.44","0.15","564.34","2.73","33.06","0.29","0.41","0.00","2.09","0.00","0.00","35.38","1.33","0.89","2.20","3.54","3.31","1.39","N/A","0.35","114.26","143.84","0.00","0.03","4.06","226.20","3.65","22.39","0.00","0.15","0.00","1.04","0.02","1.33","0.00","0.00","0.06","0.00","0.12","21.58","0.99","94.54"
"e98d036d-4cda-4312-a435-ced195f9a3d7","LBD01","2018-07-26T08:04:56.867Z","2018-07-26T08:15:02.216Z","10 min","1","Breakfast","3","associated food prompt","BTST","Butter, salted","Butter, salted","NDNS","851","30","Butter: includes half fat butter and other animal fats (e.g. lard)","Butter: includes half fat butter and other animal fats (e.g. lard)","false","N/A","5.30","https://intake24.s3-eu-west-1.amazonaws.com/production/images/as_served/butter_spread/703.jpg","0.00","N/A","5.30","true","N/A","N/A","N/A","39.27","4.34","2.81","0.03","0.04","0.04","0.00","0.00","N/A","N/A","0.00","0.95","0.00","0.00","0.00","31.64","0.00","52.68","11.77","0.97","0.04","0.08","0.00","161.54","0.00","0.00","0.00","0.00","0.00","0.04","2.01","0.04","0.11","0.00","0.00","0.00","0.01","0.34","0.00","N/A","0.01","1.22","1.54","42.93","0.00","0.00","32.12","N/A","0.00","0.00","0.00","31.64","0.01","0.16","0.01","48.23","0.02","0.00","0.05","0.10","0.79","0.01","50.35"
"e98d036d-4cda-4312-a435-ced195f9a3d7","LBD01","2018-07-26T08:04:56.867Z","2018-07-26T08:15:02.216Z","10 min","1","Breakfast","4","GREEN TEA","GRTE","Green Tea","Green Tea","NDNS","2315","91","Tea (excluding added sugar)","Tea (excluding added sugar)","false","N/A","237.92","N/A","0.00","N/A","237.92","true","N/A","N/A","N/A","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","N/A","N/A","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2.38","0.00","0.00","0.00","0.00","0.02","0.00","0.00","2.38","0.00","0.00","0.00","0.00","2.38","0.00","2.38","0.00","0.17","0.00","0.00","14.87","0.00","N/A","0.00","2.38","42.83","0.00","0.02","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","237.21","0.00","19.03"
"e98d036d-4cda-4312-a435-ced195f9a3d7","LBD01","2018-07-26T08:04:56.867Z","2018-07-26T08:15:02.216Z","10 min","1","Breakfast","5","MILK","SMLK","Semi skimmed milk","Semi skimmed milk","NDNS","608","21","Semi-skimmed milks: includes longlife semi-skimmed","Semi-skimmed milks: includes longlife semi-skimmed","false","N/A","263.04","N/A","0.00","N/A","263.04","true","N/A","N/A","N/A","115.74","4.47","2.81","9.21","10.26","10.26","0.00","0.00","N/A","N/A","5.26","313.01","0.00","0.00","0.00","18.41","5.26","226.21","18.41","1.03","0.03","0.13","0.00","486.62","0.00","10.52","0.00","0.00","0.00","10.26","47.35","10.26","26.30","0.00","0.00","0.26","1.84","16.78","0.00","N/A","1.32","249.88","405.08","39.46","0.58","0.00","113.11","N/A","0.00","0.00","0.08","18.41","1.32","0.18","1.58","42.09","1.84","0.26","0.00","0.26","235.15","1.05","370.88"
"e98d036d-4cda-4312-a435-ced195f9a3d7","LBD01","2018-07-26T08:04:56.867Z","2018-07-26T08:15:02.216Z","10 min","2","Lunch","1","WHOLEGRAIN RICE","BRCE","Brown rice","Brown rice","NDNS","49","9","Rice","Rice","false","N/A","139.05","https://intake24.s3-eu-west-1.amazonaws.com/production/images/as_served/rice/RiceBo4.jpg","0.00","N/A","139.05","true","N/A","N/A","N/A","183.55","1.25","0.24","5.01","40.60","0.14","0.00","0.00","N/A","N/A","0.00","23.64","0.70","0.00","0.00","0.00","2.78","48.67","0.00","0.42","0.01","0.42","0.11","782.85","1.25","9.73","0.00","0.00","0.00","0.14","0.00","0.00","66.74","0.00","1.28","2.78","4.45","8.27","0.70","N/A","0.42","173.81","86.21","0.00","0.00","5.56","5.56","2.09","40.32","0.14","0.15","0.00","0.83","0.00","1.67","0.00","0.00","0.14","0.00","0.14","93.16","0.97","649.36"
"e98d036d-4cda-4312-a435-ced195f9a3d7","LBD01","2018-07-26T08:04:56.867Z","2018-07-26T08:15:02.216Z","10 min","2","Lunch","2","SWEETCORN","SCCD","Sweetcorn, tinned","Sweetcorn, tinned","NDNS","10794","70","Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad","Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad","false","N/A","153.11","https://intake24.s3-eu-west-1.amazonaws.com/production/images/as_served/sweetcorn/Sweet6.jpg","0.00","N/A","153.11","true","N/A","N/A","N/A","142.39","1.84","0.24","4.44","28.94","9.34","3.06","0.00","N/A","N/A","1.53","6.12","0.77","0.00","275.60","33.68","0.00","597.13","0.00","0.47","0.02","0.75","0.00","606.32","2.76","30.62","0.46","0.61","0.00","6.28","3.06","0.00","35.22","0.15","0.15","2.30","3.06","9.57","0.77","N/A","0.31","120.96","336.84","0.00","0.09","0.00","413.40","3.52","19.60","7.81","0.06","168.42","0.77","0.00","0.77","27.56","0.00","0.15","0.00","0.77","110.70","0.77","382.78"
"e98d036d-4cda-4312-a435-ced195f9a3d7","LBD01","2018-07-26T08:04:56.867Z","2018-07-26T08:15:02.216Z","10 min","2","Lunch","3","WATER","TWTR","Water (from tap, including filtered)","Water (from tap, including filtered)","NDNS","5000","90","Water","Water","false","N/A","277.54","N/A","0.00","N/A","277.54","true","N/A","N/A","N/A","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","N/A","N/A","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","17.35","0.00","N/A","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","277.54","0.00","0.00"
"e98d036d-4cda-4312-a435-ced195f9a3d7","LBD01","2018-07-26T08:04:56.867Z","2018-07-26T08:15:02.216Z","10 min","3","Afternoon snack or drink","1","fruit smoothie (milk","SMOR","Red berry fruit smoothies (includes homemade)","Red berry fruit smoothies (includes homemade)","NDNS","10747","86","Fruit juices e.g. fresh orange juice","Fruit juices e.g. fresh orange juice","false","N/A","461.00","N/A","0.00","N/A","461.00","true","N/A","N/A","N/A","225.89","0.92","0.18","2.77","56.24","53.94","38.72","0.00","N/A","N/A","98.65","50.71","1.38","0.00","18.44","59.93","4.61","115.25","0.00","0.14","0.14","0.18","0.18","972.71","3.69","55.32","21.67","15.21","0.00","15.21","18.44","0.00","64.54","0.00","1.06","1.84","2.30","28.86","1.38","N/A","0.92","78.37","866.68","0.00","0.14","0.00","18.44","7.84","2.30","17.06","0.14","69.15","0.46","0.00","0.46","9.22","0.00","0.46","0.00","1.38","391.39","0.46","663.84"
"e98d036d-4cda-4312-a435-ced195f9a3d7","LBD01","2018-07-26T08:04:56.867Z","2018-07-26T08:15:02.216Z","10 min","3","Afternoon snack or drink","2","porridge oats","OATS","Rolled oats, not cooked","Rolled oats, not cooked","NDNS","24","7","Other breakfast cereals: muesli, bran flakes","Other breakfast cereals: muesli, bran flakes","false","N/A","30.00","N/A","0.00","N/A","30.00","true","N/A","N/A","N/A","115.50","2.34","0.37","3.30","21.63","2.19","0.00","0.00","N/A","N/A","0.00","14.40","1.08","0.00","0.00","0.00","6.00","26.10","0.00","0.90","0.02","0.90","0.12","488.70","1.95","8.40","0.00","0.00","0.00","2.19","0.00","0.00","34.50","0.00","1.12","0.21","1.02","1.75","1.08","N/A","0.12","117.60","110.40","0.00","0.02","0.90","0.60","2.04","19.44","0.09","0.26","0.00","0.57","0.00","0.81","0.00","0.00","0.09","0.00","0.21","2.85","0.75","77.70"
"e98d036d-4cda-4312-a435-ced195f9a3d7","LBD01","2018-07-26T08:04:56.867Z","2018-07-26T08:15:02.216Z","10 min","3","Afternoon snack or drink","3","associated food prompt","SMLK","Semi skimmed milk","Semi skimmed milk","NDNS","608","21","Semi-skimmed milks: includes longlife semi-skimmed","Semi-skimmed milks: includes longlife semi-skimmed","false","N/A","292.42","N/A","0.00","N/A","292.42","true","N/A","N/A","N/A","128.67","4.97","3.13","10.23","11.40","11.40","0.00","0.00","N/A","N/A","5.85","347.98","0.00","0.00","0.00","20.47","5.85","251.48","20.47","1.14","0.03","0.15","0.00","540.98","0.00","11.70","0.00","0.00","0.00","11.40","52.64","11.40","29.24","0.00","0.00","0.29","2.05","18.66","0.00","N/A","1.46","277.80","450.33","43.86","0.64","0.00","125.74","N/A","0.00","0.00","0.09","20.47","1.46","0.20","1.75","46.79","2.05","0.29","0.00","0.29","261.42","1.17","412.31"
"e98d036d-4cda-4312-a435-ced195f9a3d7","LBD01","2018-07-26T08:04:56.867Z","2018-07-26T08:15:02.216Z","10 min","3","Afternoon snack or drink","4","strawberries","STBR","Strawberries","Strawberries","NDNS","2153","73","Fresh fruit","Fresh fruit","false","N/A","45.00","https://intake24.s3-eu-west-1.amazonaws.com/production/images/as_served/Strawb_asserved/straw24.jpg","0.00","N/A","45.00","true","N/A","N/A","N/A","12.15","0.05","0.00","0.36","2.70","2.70","0.00","0.00","N/A","N/A","34.65","7.20","0.18","0.00","0.00","3.60","0.45","8.10","0.00","0.01","0.01","0.01","0.03","50.85","0.50","9.00","1.35","1.17","0.00","2.70","4.05","0.00","4.50","0.00","0.14","0.27","0.31","2.81","0.18","N/A","0.14","10.80","72.00","0.00","0.01","0.00","2.70","0.90","0.00","0.14","0.01","3.60","0.05","0.00","0.05","0.45","0.00","0.05","0.00","0.09","40.28","0.05","54.00"
"e98d036d-4cda-4312-a435-ced195f9a3d7","LBD01","2018-07-26T08:04:56.867Z","2018-07-26T08:15:02.216Z","10 min","3","Afternoon snack or drink","5","blackberries","BLAB","Blackberries, fresh","Blackberries, fresh","NDNS","1985","73","Fresh fruit","Fresh fruit","false","N/A","30.00","https://intake24.s3-eu-west-1.amazonaws.com/production/images/as_served/Blackberry_asserved/blkb23.jpg","0.00","N/A","30.00","true","N/A","N/A","N/A","7.50","0.06","0.00","0.27","1.53","1.53","0.00","0.00","N/A","N/A","4.50","12.30","0.21","1.20","0.00","23.40","0.00","6.60","0.00","0.03","0.02","0.02","0.03","31.20","0.93","10.20","0.78","0.75","0.00","1.53","0.30","0.00","6.90","0.00","0.42","0.15","0.18","1.88","0.21","N/A","0.09","9.30","48.00","0.00","0.02","0.00","0.60","1.98","0.00","0.00","0.01","24.00","0.03","0.00","0.03","3.90","0.00","0.03","0.00","0.72","25.50","0.06","36.00"
"e98d036d-4cda-4312-a435-ced195f9a3d7","LBD01","2018-07-26T08:04:56.867Z","2018-07-26T08:15:02.216Z","10 min","3","Afternoon snack or drink","6","melon)","GMLN","Melon, galia","Melon, galia","NDNS","2083","73","Fresh fruit","Fresh fruit","false","N/A","95.80","https://intake24.s3-eu-west-1.amazonaws.com/production/images/as_served/melon/Mel3.jpg","0.00","N/A","95.80","true","N/A","N/A","N/A","24.91","0.10","0.03","0.48","5.84","5.84","0.00","0.00","N/A","N/A","11.50","10.54","0.10","0.00","0.00","45.98","0.96","57.48","0.00","0.03","0.02","0.02","0.00","105.38","0.48","2.87","2.49","2.11","0.00","5.84","3.83","0.00","10.54","0.00","0.00","0.29","0.29","5.99","0.10","N/A","0.19","12.45","172.44","0.00","0.01","0.00","30.66","0.86","0.00","1.25","0.03","45.98","0.10","0.00","0.00","7.66","0.00","0.10","0.00","0.10","88.14","0.10","157.11"
"e98d036d-4cda-4312-a435-ced195f9a3d7","LBD01","2018-07-26T08:04:56.867Z","2018-07-26T08:15:02.216Z","10 min","3","Afternoon snack or drink","7","water","TWTR","Water (from tap, including filtered)","Water (from tap, including filtered)","NDNS","5000","90","Water","Water","false","N/A","277.54","N/A","0.00","N/A","277.54","true","N/A","N/A","N/A","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","N/A","N/A","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","17.35","0.00","N/A","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","277.54","0.00","0.00"
